DIA;MES;AÑO;MUESTREO;HLB;CULTIVAR ;GUIA LOTE;CODIGO;VARIEDAD;PORTAINJERTO;REPETICION;ARBOL;PUNTO;BROTES;BDcitri;HUEVOS ;NINFAS;ADULTO;BENÉFICOS ;FENOLOGIA;OBSERVACIONES
11;12;19;M73;HLB5;Limón;L3-20;15;Perrine;CPB4475;III;3;NORTE;1;0;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L4-18;15;Perrine;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L4-17;16;L.Pajarito;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L4-16;14;Eureka;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L4-15;13;Fairchild;CPB4475;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L4-14;28;M.Arrayana;SxE;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L4-13;29;Fairchild;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L4-12;27;OwariSatsuma;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L4-11;28;M.Arrayana;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;Pulgones
11;12;19;M73;HLB5;Mandarina;L4-10;26;M.Oneco;SxE;I;3;NORTE;1;1;1;0;0;0;NA;NA
11;12;19;M73;HLB5;Naranja;L4-9;20;ParsonB;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-8;21;Pinneapple;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-7;24;FrostVal;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-6;17;PeraDelRio;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-5;19;Hamlin;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-4;22;V.Washington;SxE;II;3;NORTE;8;7;1;1;0;0;NA;NA
11;12;19;M73;HLB5;Naranja;L4-3;25;GarciaVal;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-2;23;Sweety O;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L4-1;18;Lannelate;SxE;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-1;7;Sweety O;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-2;6;V.Washington;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-3;8;FrostVal;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-4;9;GarciaVal;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-5;2;Lannelate;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-6;3;Hamlin;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-7;1;PeraDelRio;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-8;4;ParsonB;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L5-9;5;Pinneapple;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-1;23;Sweety O;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-2;22;V.Washington;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-3;24;FrostVal;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-4;25;GarciaVal;SxE;I;3;NORTE;2;1;0;1;0;0;NA;NA
11;12;19;M73;HLB5;Naranja;L6-5;18;Lannelate;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-6;19;Hamlin;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-7;17;PeraDelRio;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-8;20;ParsonB;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L6-9;21;Pinneapple;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-1;1;PeraDelRio;CPB4475;III;-;ESTE;NA;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-2;9;GarciaVal;CPB4475;III;3;ESTE;2;1;1;0;0;0;NA;NA
11;12;19;M73;HLB5;Naranja;L1-3;6;V.Washington;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-4;2;Lannelate;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-5;7;Sweety O;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-6;3;Hamlin;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-7;8;FrostVal;CPB4475;III;3;ESTE;2;2;0;1;0;0;NA;NA
11;12;19;M73;HLB5;Naranja;L1-8;5;Pinneapple;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L1-9;4;ParsonB;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-10;11;OwariSatsuma;CPB4475;II;3;ESTE;3;3;0;1;0;0;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-11;13;Fairchild;CPB4475;II;3;ESTE;3;2;1;1;1;0;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-12;12;M.Arrayana;CPB4475;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-13;10;M.Oneco;CPB4475;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-14;27;OwariSatsuma;SxE;III;3;ESTE;2;1;0;1;0;0;NA;NA
11;12;19;M73;HLB5;Mandarina;L1-15;10;M.Oneco;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-16;32;L.Pajarito;SxE;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-17;30;Eureka;SxE;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-18;31;Perrine;SxE;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L1-19;32;L.Pajarito;SxE;III;3;ESTE;3;2;1;1;0;0;NA;NA
11;12;19;M73;HLB5;Limón;L1-20;16;L.Pajarito;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-20;14;Eureka;CPB4475;III;-;ESTE;NA;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-19;31;Perrine;SxE;III;3;ESTE;1;0;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-18;15;Perrine;CPB4475;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-17;14;Eureka;CPB4475;II;-;ESTE;NA;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L2-16;16;L.Pajarito;CPB4475;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L2-15;11;OwariSatsuma;CPB4475;III;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L2-14;29;Fairchild;SxE;III;3;ESTE;3;0;0;1;0;0;NA;NA
11;12;19;M73;HLB5;Mandarina;L2-13;26;M.Oneco;SxE;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L2-12;28;M.Arrayana;SxE;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L2-11;27;OwariSatsuma;SxE;II;3;ESTE;0;NA;NA;NA;NA;NA;NA;NA
