DIA;MES;AÑO;MUESTREO;HLB;CULTIVAR ;GUIA LOTE;CODIGO;VARIEDAD;PORTAINJERTO;REPETICION;ARBOL;PUNTO;BROTES;BDcitri;HUEVOS ;NINFAS;ADULTO;BENÉFICOS ;FENOLOGIA;OBSERVACIONES
11;12;19;M73;HLB5;Naranja;L3-4;3;Hamlin;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L3-5;4;ParsonB;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L3-6;1;PeraDelRio;CPB4475;II;-;NORTE;NA;NA;NA;NA;NA;NA;NA;Parcela muerta 
11;12;19;M73;HLB5;Naranja;L3-7;9;GarciaVal;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Naranja;L3-8;6;V.Washington;CPB4475;II;3;NORTE;1;1;0;1;1;0;NA;NA
11;12;19;M73;HLB5;Naranja;L3-9;2;Lannelate;CPB4475;II;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L3-10;10;M.Oneco;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L3-11;12;M.Arrayana;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L3-12;11;OwariSatsuma;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L3-13;13;Fairchild;CPB4475;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L3-14;26;M.Oneco;SxE;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Mandarina;L3-15;12;M.Arrayana;CPB4475;III;3;NORTE;5;3;1;1;1;0;NA;Afidos 
11;12;19;M73;HLB5;Limón;L3-16;31;Perrine;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L3-17;30;Eureka;SxE;I;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L3-18;32;L.Pajarito;SxE;I;3;NORTE;1;0;NA;NA;NA;NA;NA;NA
11;12;19;M73;HLB5;Limón;L3-19;30;Eureka;SxE;III;3;NORTE;0;NA;NA;NA;NA;NA;NA;NA
