DIA;MES;AÑO;MUESTREO;HLB;CULTIVO;PARCELA;CÓD.;REP.;COPA;PATRÓN;PUNTO;ÁRBOL;PRESENCIA BROTE;Brote D. citri;HUEVOS ;NINFA 1;NINFA 2;NINFA 3;NINFA 4;NINFA 5;ADULTO;OBSERVACIONES
11;12;2019;73;HLB 5;NARANJA;L1NA9;4;3;Parson Brown;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA10;11;2;Owari Satsuma;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA10;11;2;Owari Satsuma;CPB;Este ;3;1;NA;11;1;2;0;3;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA10;11;2;Owari Satsuma;CPB;Sur;3;1;NA;3;0;0;2;0;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA10;11;2;Owari Satsuma;CPB;Oeste ;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA11;13;2;Fairchild;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA11;13;2;Fairchild;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA11;13;2;Fairchild;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA11;13;2;Fairchild;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA12;12;2;Arrayana;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA12;12;2;Arrayana;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA12;12;2;Arrayana;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA12;12;2;Arrayana;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA13;10;2;Oneco;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA13;10;2;Oneco;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA13;10;2;Oneco;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA13;10;2;Oneco;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA14;27;3;Owari Satsuma;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA14;27;3;Owari Satsuma;SxE;Este ;3;1;NA;0;0;0;1;0;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA14;27;3;Owari Satsuma;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA14;27;3;Owari Satsuma;SxE;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA15;10;3;Oneco;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA15;10;3;Oneco;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA15;10;3;Oneco;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L1NA15;10;3;Oneco;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA16;32;2;Pajarito;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA16;32;2;Pajarito;SxE;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA16;32;2;Pajarito;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA16;32;2;Pajarito;SxE;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA17;30;2;Eureka;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA17;30;2;Eureka;SxE;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA17;30;2;Eureka;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA17;30;2;Eureka;SxE;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA18;31;2;Perrine;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA18;31;2;Perrine;SxE;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA18;31;2;Perrine;SxE;Sur;3;1;NA;6;1;0;0;0;0;0;NA
11;12;2019;73;HLB 5;LIMON;L1NA18;31;2;Perrine;SxE;Oeste ;3;1;NA;3;18;3;0;0;0;0;NA
11;12;2019;73;HLB 5;LIMON;L1NA19;32;3;Pajarito;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA19;32;3;Pajarito;SxE;Este ;3;1;NA;1;4;5;3;0;2;0;NA
11;12;2019;73;HLB 5;LIMON;L1NA19;32;3;Pajarito;SxE;Sur;3;1;NA;6;0;7;0;0;0;0;NA
11;12;2019;73;HLB 5;LIMON;L1NA19;32;3;Pajarito;SxE;Oeste ;3;1;NA;2;0;0;0;3;0;0;NA
11;12;2019;73;HLB 5;LIMON;L1NA20;16;3;Pajarito;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA20;16;3;Pajarito;CPB;Este ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA20;16;3;Pajarito;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L1NA20;16;3;Pajarito;CPB;Oeste ;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA20;14;3;Eureka;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA20;14;3;Eureka;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA20;14;3;Eureka;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA20;14;3;Eureka;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA19;31;3;Perrine;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA19;31;3;Perrine;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA19;31;3;Perrine;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA19;31;3;Perrine;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA18;15;2;Perrine;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA18;15;2;Perrine;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA18;15;2;Perrine;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA18;15;2;Perrine;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA17;14;2;Eureka;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA17;14;2;Eureka;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA17;14;2;Eureka;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA17;14;2;Eureka;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA16;16;2;Pajarito;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA16;16;2;Pajarito;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA16;16;2;Pajarito;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;LIMON;L2NA16;16;2;Pajarito;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA15;11;3;Owari Satsuma;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA15;11;3;Owari Satsuma;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA15;11;3;Owari Satsuma;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA15;11;3;Owari Satsuma;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA14;29;3;Fairchild;SxE;Norte;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA14;29;3;Fairchild;SxE;Este;3;1;NA;0;0;0;0;1;1;0;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA14;29;3;Fairchild;SxE;Sur;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA14;29;3;Fairchild;SxE;Oeste;3;1;NA;0;0;0;0;0;1;0;Ninfa parasitada
11;12;2019;73;HLB 5;MANDARINA;L2NA13;26;2;Oneco;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA13;26;2;Oneco;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA13;26;2;Oneco;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA13;26;2;Oneco;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
